Trait,ANumber,Sequence
Triangle,A007318,[1 1 1 1 2 1 1 3 3 1 ]
Reverse,A007318,[1 1 1 1 2 1 1 3 3 1 ]
Inverse,A007318,[1 -1 1 1 -2 1 -1 3 -3 1 ]
RevInv,A007318,[1 1 -1 1 -2 1 1 -3 3 -1 ]
InvRev,A007318,[1 -1 1 1 -2 1 -1 3 -3 1 ]
DiagTri,A011973,[1 1 1 1 1 2 1 3 1 1 ]
PolyTri,A009998,[1 1 1 1 2 1 1 4 3 1 ]
Sum,A000079,[1 2 4 8 16 32 64 128 256 512 ]
EvenSum,A011782,[1 1 2 4 8 16 32 64 128 256 ]
OddSum,A131577,[0 1 2 4 8 16 32 64 128 256 ]
AltSum,A000007,[1 0 0 0 0 0 0 0 0 0 ]
DiagSum,A000045,[1 1 2 3 5 8 13 21 34 55 ]
Middle,A001405,[1 1 2 3 6 10 20 35 70 126 ]
Central,A000984,[1 2 6 20 70 252 924 3432 12870 48620 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A000244,[1 3 9 27 81 243 729 2187 6561 19683 ]
NegHalf,A000012,[1 -1 1 -1 1 -1 1 -1 1 -1 ]
PolyVal2,A000244,[1 3 9 27 81 243 729 2187 6561 19683 ]
PolyVal3,A000302,[1 4 16 64 256 1024 4096 16384 65536 262144 ]
BinConv,A000984,[1 2 6 20 70 252 924 3432 12870 48620 ]
IBinConv,A126869,[1 0 -2 0 6 0 -20 0 70 0 ]
TransSqrs,A001788,[0 1 6 24 80 240 672 1792 4608 11520 ]
TransNat0,A001787,[0 1 4 12 32 80 192 448 1024 2304 ]
TransNat1,A001792,[1 3 8 20 48 112 256 576 1280 2816 ]
